
-1.919000e+00 0.000000e+00 -1.1823828459226753e-01 7.8304331651640205e-02 1.9654261624390773e-01 
-1.870417e+00 0.000000e+00 -1.0925945765197237e-01 6.9073827518388836e-02 1.7833328517036121e-01 
-1.821835e+00 0.000000e+00 -1.0136233880780651e-01 6.0432810371041534e-02 1.6179514917884805e-01 
-1.773253e+00 0.000000e+00 -9.4804521374779793e-02 5.2671962032232816e-02 1.4747648340701261e-01 
-1.724671e+00 0.000000e+00 -8.9768256531066404e-02 4.6027651513000700e-02 1.3579590804406710e-01 
-1.676088e+00 0.000000e+00 -8.6312106401467470e-02 4.0632071552619130e-02 1.2694417795408661e-01 
-1.627506e+00 0.000000e+00 -8.4333408368659268e-02 3.6473634989988860e-02 1.2080704335864813e-01 
-1.578924e+00 0.000000e+00 -8.3569232533281995e-02 3.3395366421917864e-02 1.1696459895519987e-01 
-1.530342e+00 0.000000e+00 -8.3647706605949890e-02 3.1143229899171402e-02 1.1479093650512129e-01 
-1.481759e+00 0.000000e+00 -8.4170195021833039e-02 2.9444957163355205e-02 1.1361515218518825e-01 
-1.433177e+00 0.000000e+00 -8.4790304063939947e-02 2.8085435192737207e-02 1.1287573925667715e-01 
-1.384595e+00 0.000000e+00 -8.5269024481045480e-02 2.6958058583240900e-02 1.1222708306428639e-01 
-1.336012e+00 0.000000e+00 -8.5505077620613629e-02 2.6091211492046143e-02 1.1159628911265977e-01 
-1.287430e+00 0.000000e+00 -8.5546946010070540e-02 2.5656460939743542e-02 1.1120340694981408e-01 
-1.238848e+00 0.000000e+00 -8.5587835047387734e-02 2.5959808582556979e-02 1.1154764362994471e-01 
-1.190266e+00 0.000000e+00 -8.5935198899463217e-02 2.7407731532814377e-02 1.1334293043227760e-01 
-1.141683e+00 0.000000e+00 -8.6943898520727009e-02 3.0437172163559421e-02 1.1738107068428644e-01 
-1.093101e+00 0.000000e+00 -8.8919125918747399e-02 3.5415695242326843e-02 1.2433482116107425e-01 
-1.044519e+00 0.000000e+00 -9.2027047657544117e-02 4.2549839644661844e-02 1.3457688730220596e-01 
-9.959366e-01 0.000000e+00 -9.6260226365616722e-02 5.1848785813117873e-02 1.4810901217873459e-01 
