0.0000000000000000e+00 0.0000000000000000e+00
5.2768981938931499e-21 1.8306584756675577e-19
3.3108893481574595e-19 5.9273068671989217e-18
3.7634944494939637e-18 4.4981343972036104e-17
2.1137182976216466e-17 1.8952482841775520e-16
8.0620109175534643e-17 5.7829967934551278e-16
2.4070426842365536e-16 1.4387011929549506e-15
6.0689853660490214e-16 3.1088708166017077e-15
1.3521167620502412e-15 6.0595823513827747e-15
2.7407436457129691e-15 1.0916114545975366e-14
5.1563835264691041e-15 1.8480030684061130e-14
9.1332643312194516e-15 2.9750717298711500e-14
1.5391290217007001e-14 4.5946795079308963e-14
2.4874714822644712e-14 6.8527465612740976e-14
3.8794442442248108e-14 9.9213501928683871e-14
5.8673904555290723e-14 1.4000820570943149e-13
8.6398526081514692e-14 1.9321800171221481e-13
1.2426872184162674e-13 2.6147285446667249e-13
1.7505643275614327e-13 3.4774649065453354e-13
2.4206515329414332e-13 4.5537616052066749e-13
3.2919343063268511e-13 5.8808240993978385e-13
4.4100181003379950e-13 7.4998822919657967e-13
5.8278318784732941e-13 9.4563815148008637e-13
7.6063655396478715e-13 1.1800168402942000e-12
9.8154406706705944e-13 1.4585674249384791e-12
1.2534514575976690e-12 1.7872093958802046e-12
1.5853516909483708e-12 2.1723562360986774e-12
1.9873718927385131e-12 2.6209325532940570e-12
2.4708634451906320e-12 3.1403907752738179e-12
3.0484952641616535e-12 3.7387276172811871e-12
3.7343501884853149e-12 4.4244998928889285e-12
4.5440244440288582e-12 5.2068399978389951e-12
5.4947301414152583e-12 6.0954708646485259e-12
6.6054007595068641e-12 7.1007205685265314e-12
7.8967995719178796e-12 8.2335362134245463e-12
9.3916309628370698e-12 9.5054975733026699e-12
1.1114654592894633e-11 1.0928830002907989e-11
1.3092802353751636e-11 1.2516416990353364e-11
1.5355298075389192e-11 1.4281812070115702e-11
1.7933779924163381e-11 1.6239250130714658e-11
2.0862425437237581e-11 1.8403658373293325e-11
2.4178079155297092e-11 2.0790666439132070e-11
2.7920382780726650e-11 2.3416616196548550e-11
3.2131907826826888e-11 2.6298570641136853e-11
3.6858290665593378e-11 2.9454322541944613e-11
4.2148369983028600e-11 3.2902402182251762e-11
4.8054326502798163e-11 3.6662084588254217e-11
5.4631824998796197e-11 4.0753396156331679e-11
6.1940158469898464e-11 4.5197120570156941e-11
7.0042394482766281e-11 5.0014804127842649e-11
7.9005523557821887e-11 5.5228760306002182e-11
8.8900609600101835e-11 6.0862073838579431e-11
9.9802942273827504e-11 6.6938603948642216e-11
1.1179219127337232e-10 7.3482986935178366e-11
1.2495256242920852e-10 8.0520638150094045e-11
1.3937295558907837e-10 8.8077753213462497e-11
1.5514712420951748e-10 9.6181308459945679e-11
1.7237383658905820e-10 1.0485906092361325e-10
1.9115703871700168e-10 1.1413954724497119e-10
2.1160601860050533e-10 1.2405208224537214e-10
2.3383557211059352e-10 1.3462675647286547e-10
2.5796617018139201e-10 1.4589443320515785e-10
2.8412412738075595e-10 1.5788674457728740e-10
3.1244177172826918e-10 1.7063608717406239e-10
3.4305761576093490e-10 1.8417561666241420e-10
3.7611652870986660e-10 1.9853924184754367e-10
4.1176990981105941e-10 2.1376161798463366e-10
4.5017586260667467e-10 2.2987813914588571e-10
4.9149937022438349e-10 2.4692493010702037e-10
5.3591247156772554e-10 2.6493883731004191e-10
5.8359443833434257e-10 2.8395741920304566e-10
6.3473195282911976e-10 3.0401893561823134e-10
6.8951928647944492e-10 3.2516233672191407e-10
7.4815847903771389e-10 3.4742725087749052e-10
8.1085951834863685e-10 3.7085397211836650e-10
8.7784052069243628e-10 3.9548344635075472e-10
9.4932791156349529e-10 4.2135725752561754e-10
1.0255566069306555e-09 4.4851761241087887e-10
1.1067701948130864e-09 4.7700732499069935e-10
1.1932211171785613e-09 5.0686979994255465e-10
1.2851708520912545e-09 5.3814901554742586e-10
1.3828900960456494e-09 5.7088950567340489e-10
1.4866589464379996e-09 6.0513634117626362e-10
1.5967670841241801e-09 6.4093511056192219e-10
1.7135139560006333e-09 6.7833189975721531e-10
1.8372089575568845e-09 7.1737327152544178e-10
1.9681716153491472e-09 7.5810624356187641e-10
2.1067317693144882e-09 8.0057826658059508e-10
2.2532297549414252e-09 8.4483720128561929e-10
2.4080165851788200e-09 8.9093129457841129e-10
2.5714541320451282e-09 9.3890915536289249e-10
2.7439153079262588e-09 9.8881972948542866e-10
2.9257842464619454e-09 1.0407122740185820e-09
3.1174564830231037e-09 1.0946363307961473e-09
3.3193391346626987e-09 1.1506416995857945e-09
3.5318510796023948e-09 1.2087784101247461e-09
3.7554231360636987e-09 1.2690966939530608e-09
3.9904982405640378e-09 1.3316469553361354e-09
4.2375316254713015e-09 1.3964797416701852e-09
4.4969909959161193e-09 1.4636457132045702e-09
4.7693567058920372e-09 1.5331956121656853e-09
5.0551219336315255e-09 1.6051802313509545e-09
5.3547928560892925e-09 1.6796503819587750e-09
5.6688888225926934e-09 1.7566568610880557e-09
5.9979425275704195e-09 1.8362504182324252e-09
6.3425001823162926e-09 1.9184817217407288e-09
6.7031216858003583e-09 2.0034013243534073e-09
7.0803807944238756e-09 2.0910596283227749e-09
7.4748652907484009e-09 2.1815068498106469e-09
7.8871771510814485e-09 2.2747929832571645e-09
8.3179327120182582e-09 2.3709677645803146e-09
8.7677628357305116e-09 2.4700806344335131e-09
9.2373130741429834e-09 2.5721807005430671e-09
9.7272438318261827e-09 2.6773166998892614e-09
1.0238230527683261e-08 2.7855369603185092e-09
1.0770963755316303e-08 2.8968893615521208e-09
