
-1.919000e+00 -1.107935e+00 -1.9505830749025778e-17 -2.9185030539982458e-17 -4.0914779853717120e-17 -3.4722062651980116e-17 
-1.870417e+00 -1.107935e+00 -1.0307052997861839e-02 -5.2552267522780602e-03 4.3623836777839610e-04 -8.5559238227804610e-04 
-1.821835e+00 -1.107935e+00 -2.1100297319480342e-02 -1.0834268450175488e-02 1.7622241701566455e-03 -3.4320225777013900e-03 
-1.773253e+00 -1.107935e+00 -3.2525719816228857e-02 -1.6901878119906857e-02 4.0313195430125770e-03 -7.7578106418411952e-03 
-1.724671e+00 -1.107935e+00 -4.4733555991282842e-02 -2.3647494524003360e-02 7.3370705362674864e-03 -1.3879409309640035e-02 
-1.676088e+00 -1.107935e+00 -5.7880638109883482e-02 -3.1296320749643836e-02 1.1819699343064687e-02 -2.1859813673188486e-02 
-1.627506e+00 -1.107935e+00 -7.2131959442443647e-02 -4.0123064386356717e-02 1.7675415264588122e-02 -3.1776295168201386e-02 
-1.578924e+00 -1.107935e+00 -8.7660894545494611e-02 -5.0469457092247164e-02 2.5169168968089697e-02 -4.3716576199278677e-02 
-1.530342e+00 -1.107935e+00 -1.0464708285502664e-01 -6.2766978547394353e-02 3.4651679946651928e-02 -5.7772371816576622e-02 
-1.481759e+00 -1.107935e+00 -1.2327027143481310e-01 -7.7566587526236838e-02 4.6581769336150144e-02 -7.4028618933878132e-02 
-1.433177e+00 -1.107935e+00 -1.4369724624638422e-01 -9.5577661935835501e-02 6.1555173131100621e-02 -9.2545775780712727e-02 
-1.384595e+00 -1.107935e+00 -1.6605708410732806e-01 -1.1771862456629528e-01 8.0340961367929314e-02 -1.1333113879209937e-01 
-1.336012e+00 -1.107935e+00 -1.9039691969804950e-01 -1.4518152017099789e-01 1.0392616059336039e-01 -1.3629297192724552e-01 
-1.287430e+00 -1.107935e+00 -2.1660569358431886e-01 -1.7951129099732821e-01 1.3356758769565874e-01 -1.6116813495387944e-01 
-1.238848e+00 -1.107935e+00 -2.4428636024375780e-01 -2.2269592123221396e-01 1.7084612695213919e-01 -1.8740971223878811e-01 
-1.190266e+00 -1.107935e+00 -2.7254772632170299e-01 -2.7725247038872247e-01 2.1771066518697388e-01 -2.1401629608386291e-01 
-1.141683e+00 -1.107935e+00 -2.9967749167054447e-01 -3.4626975522913012e-01 2.7648321512126495e-01 -2.3928106669819255e-01 
-1.093101e+00 -1.107935e+00 -3.2265638137934349e-01 -4.3332039318172283e-01 3.4976858519389820e-01 -2.6044254504197251e-01 
-1.044519e+00 -1.107935e+00 -3.3650267171571430e-01 -5.4207014556746846e-01 4.4016720095338230e-01 -2.7324404476727543e-01 
-9.959366e-01 -1.107935e+00 -3.3354951435489477e-01 -6.7528991210000999e-01 5.4963369273641494e-01 -2.7148347398704775e-01 
